Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Colin Rea,592663,FC,FC,0.27173913,0.6443662,0.65,0.89617486,0.43558282,0.68452381,0.08282209,0.27147239,91.4859824916057,94.8159833202152,0.19047619,0.06547619,41.2,Colin Rea,Exact
Edward Cabrera,665862,CU,CU,0.28279883,0.56505576,0.58762887,0.89473684,0.43954248,0.57236842,0.09150327,0.29575163,117.349403051965,105.866229508197,0.21710526,0.09210526,34.1,Edward Cabrera,Exact
Gavin Williams,687021,4S,4S,0.31069959,0.69085174,0.49668874,0.85844749,0.39476961,0.53475936,0.13325031,0.28518057,113.222059586281,102.388798017348,0.27272727,0.12834225,42.0,Gavin Williams,Exact
Graham Ashcraft,676651,SL,SL,0.46694215,0.62295082,0.61061947,0.90789474,0.33516484,0.62886598,0.14010989,0.29120879,63.8205180513449,120.393555555556,0.26804124,0.10309278,23.0,Graham Ashcraft,Exact
Griffin Canning,669456,SL,SL,0.32426304,0.65564738,0.51748252,0.87394958,0.45149254,0.59090909,0.12313433,0.29104478,96.7681614394081,93.2979130434783,0.23232323,0.08585859,47.1,Griffin Canning,Exact
Hayden Wesneski,681140,SL,SL,0.30798479,0.65306122,0.64197531,0.8625,0.48228346,0.64885496,0.1003937,0.28149606,118.794571454957,94.60146245,0.22137405,0.04580153,32.0,Hayden Wesneski,Exact
Hunter Brown,680686,CU,CU,0.34077079,0.608,0.61904762,0.82894737,0.43202765,0.58653846,0.11866359,0.30529954,46.4227203535139,111.254457274827,0.32211538,0.06730769,56.2,Hunter Brown,Exact
Jack Flaherty,666134,SL,SL,0.31524008,0.65853659,0.53642384,0.86111111,0.40644362,0.63917526,0.12391574,0.29987608,112.16706218514,98.9720745341615,0.28865979,0.07731959,46.2,Jack Flaherty,Exact
Jack Leiter,687299,SL,SL,0.28037383,0.70229008,0.62222222,0.85869565,0.44939966,0.63013699,0.10291595,0.25557461,98.8599696236227,110.84397941681,0.18493151,0.10958904,36.0,Jack Leiter,Exact
Jackson Jobe,690987,SL,SL,0.3060241,0.66906475,0.64566929,0.87096774,0.4011544,0.65895954,0.0995671,0.25541126,129.87255963032,109.319314888011,0.1849711,0.12716763,39.1,Jackson Jobe,Exact
